Ejemplo,,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
20:45-07:30,Noches,2,,,,,,
,,,,,,,,
SEPTIEMBRE,,,,,,,,
,,,,,,,,
,,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo,
,,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,
07:10-14:10,Mañanas,4,3,4,4,4,3,
14:00-21:00,Tardes,3,4,5,5,3,3,
20:45-07:30,Noches,3,4,5,5,3,2,
,,,,,,,,
,,,,,,FESTIVO,,
,,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
,,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep
07:10-14:10,Mañanas,3,4,4,5,2,4,2
14:00-21:00,Tardes,4,5,5,5,2,4,4
20:45-07:30,Noches,4,5,5,5,2,5,4
,,,,,,,,
,,,,,,,,
,,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
,,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep
,Mañanas,,,,,,,
,Tardes,,,,,,,
,Noches,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep
07:10-14:10,Mañanas,3,4,4,5,5,5,3
14:00-21:00,Tardes,4,5,5,5,5,4,3
20:45-07:30,Noches,4,5,5,5,5,2,1
,,,,,,,,
,,,,,FESTIVO,,,
,,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
,,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep
07:10-14:10,Mañanas,3,4,4,2,4,3,2
14:00-21:00,Tardes,4,5,5,2,4,3,2
20:45-07:30,Noches,4,5,5,2,4,3,2
,,,,,,,,
,,,,,,,,
,,Lunes,Martes,Miercoles,,,,
,,28-Sep,29-Sep,30-Sep,,,,
07:10-14:10,Mañanas,4,3,4,,,,
14:00-21:00,Tardes,3,4,5,,,,
20:45-07:30,Noches,3,4,5,,,,
